comuna,region,protected_area,treatment,pobreza_multidimensional,pobreza_ingresos
Taltal,Antofagasta,Parque Nacional Pan de Azúcar,1,0.2114705558481934,0.1148022160931823
Chañaral,Atacama,Parque Nacional Pan de Azúcar,1,0.2279385710690415,0.1146199488480459
Illapel,Coquimbo,Reserva Nacional Las Chinchillas,1,0.1695929773890534,0.08052492714721493
Castro,Los Lagos,Parque Nacional Chiloé,1,0.1821138994250152,0.03226115623962791
Chonchi,Los Lagos,Parque Nacional Chiloé,1,0.2844525905593493,0.09279663915861067
Dalcahue,Los Lagos,Parque Nacional Chiloé,1,0.285809711329468,0.09349236410441326
San Pedro De Atacama,Antofagasta,Reserva Nacional Los Flamencos,1,0.2245942479535965,0.04873007866767889
Calama,Antofagasta,,0,0.1677233196328674,0.08143143364954893
La Serena,Coquimbo,,0,0.1310480151568746,0.05928800605494077
Santiago,Región Metropolitana,,0,0.164653734141174,0.03864781172163236
